Price,Reviews,Rating,Brand,Operating System,CPU manufacturer,Screen size,Computer memory size,Processor count,Graphics Chipset Brand,Series,CPU model,Colour,Hard disk size,Resolution,Item weight,Form Factor,Hard disk description,Operating system,Graphics processor manufacturer,Model name,RAM memory technology,Hard disk interface,CPU speed,Form factor,Wireless communication technology,Human interface input,Connectivity Type,Graphics co-processor,Battery cell composition,Item dimensions L x W x H,Cellular technology,Other camera features,Software included,Wireless communication standard
£667.69,218 ratings,4.6 out of 5 stars,HUAWEI,Windows 10 Home,Intel,13 Inches,8 GB,8,NVIDIA,Matebook 13 2020,Core i5-10210U,Grey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,98 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel Celeron Processor N4100,11.6 Inches,8 GB,4,Intel,F5,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£228.99,"2,586 ratings",4.0 out of 5 stars,ASUS,Windows 10 Home,Intel,14,4 GB,2,Intel,ASUS L410 MA,Celeron,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£499.00,40 ratings,4.5 out of 5 stars,Dell,Windows 10,AMD,15.6 Inches,8 GB,1,AMD,Dell Inspiron 15 3505,Ryzen 5 3500U,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£229.49,715 ratings,4.2 out of 5 stars,Jumper,Windows 10,Intel,13.3 Inches,4 GB,2,Intel,Ezbook X3 464office,Celeron N3350,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£239.00,285 ratings,4.1 out of 5 stars,LincPlus,Windows,Intel,14 Inches,4 GB,2,Intel,LincPlus p3,Celeron N3350,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£669.00,97 ratings,4.6 out of 5 stars,Microsoft,Windows 10 S,Intel,12.45 Inches,8 GB,4,Intel,THH-00004,Core i5-1035G1,Silver,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£159.95,215 ratings,4.5 out of 5 stars,Simbans,Android 10,MediaTek,10.1 Inches,4 GB,4,NaN,NaN,ARM710,Black,64 GB,1280 x 720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£382.20,470 ratings,4.3 out of 5 stars,Lenovo,Windows 10 Pro,Intel,14.1 Inches,8 GB,2,Intel,NaN,Core i5,NaN,240 GB,1280 x 720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£599.00,"2,209 ratings",4.7 out of 5 stars,HUAWEI,Windows 10 Home,AMD,15.6 Inches,8 GB,1,AMD,HUAWEI MateBook D 15,Ryzen 5 3500U,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£419.99,11 ratings,4.2 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£499.99,68 ratings,4.6 out of 5 stars,ASUS,Windows 10 Home,AMD,17.3 Inches,8 GB,2,AMD,VivoBook 17,Ryzen 3 3250U,NaN,1 TB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£549.00,16 ratings,4.4 out of 5 stars,Lenovo,Windows 10 S,Intel,15.6 Inches,8 GB,4,Intel,IdeaPad 5 15IIL05,Core i5 Family,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£899.99,59 ratings,4.6 out of 5 stars,HP,Windows 10,AMD,15.6 Inches,8 GB,4,NVIDIA,HP Pavilion Gaming 15-ec1006sa/15-ec1006na,AMD Ryzen 7,NaN,512 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£349.99,51 ratings,4.2 out of 5 stars,Acer,Windows 10 S,AMD,15.6,4 GB,2,AMD,Aspire 3 A315-23,Ryzen 3 3250U,NaN,NaN,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£368.00,10 ratings,4.7 out of 5 stars,XINYANGCH,Windows 10 Home,Intel,15.6 Inches,6 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£249.95,14 ratings,4.5 out of 5 stars,Lenovo,Windows 10 S,AMD,11.6 Inches,4 GB,2,AMD,Lenovo IdeaPad 1 11inch,AMD FX,NaN,NaN,1280 x 720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£649.99,317 ratings,4.4 out of 5 stars,Acer,Windows 10,Intel,15.6 Inches,8 GB,1,Intel,Aspire 5,Core i5,NaN,NaN,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£259.99,145 ratings,4.1 out of 5 stars,LincPlus,Windows 10 Home,Intel,14 Inches,4 GB,2,Intel,LincPlus P2-UK,Celeron,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£667.69,218 ratings,4.6 out of 5 stars,HUAWEI,Windows 10 Home,Intel,13 Inches,8 GB,8,NVIDIA,Matebook 13 2020,Core i5-10210U,Grey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£318.99,5 ratings,3.4 out of 5 stars,Huashetrade,Windows 10 Pro,Intel,15.6 Inches,8 GB,4,Intel,NaN,Celeron G1610T,Silver,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£259.95,247 ratings,4.2 out of 5 stars,Fusion5,Windows 10 Pro,Intel,14.1 Inches,4 GB,2,NaN,S14+,Celeron N3350,NaN,64 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£349.00,459 ratings,3.9 out of 5 stars,CHUWI,Windows 10 Home,Intel,14.1 Inches,8 GB,2,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£159.99,295 ratings,3.7 out of 5 stars,Samsung,Chrome OS,Intel,11.6 Inches,2 GB,2,NaN,NaN,NaN,NaN,16 GB,NaN,2.43 Pounds,Chromebook,Hdd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£199.00,0,NaN,GEO,Windows 10 S,Intel,11.6 Inches,4 GB,2,Intel,GeoFlex 110,Celeron N4020,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£299.99,319 ratings,4.4 out of 5 stars,Jumper,Windows 10 Home,Intel,11.6 Inches,4 GB,4,NaN,NaN,Celeron,"Grey, 4GB",64 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,98 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel Celeron Processor N4100,11.6 Inches,8 GB,4,Intel,F5,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,212 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,F7 Plus,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£184.99,22 ratings,4.6 out of 5 stars,Lenovo,Chrome OS,Intel,11.6 Inches,4 GB,2,Intel,IdeaPad 3 CB 11IGL05,Celeron,NaN,32 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.00,72 ratings,4.0 out of 5 stars,Lenovo,Windows 10 S,Intel,17.3 Inches,4 GB,2,Intel,NB IP 3i 17inch,Pentium,NaN,1 TB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£199.99,731 ratings,4.2 out of 5 stars,IOTA,Windows 10 Home,Intel,11.6 Inches,4 GB,2,Intel,Flex 110,Celeron N4020,NaN,NaN,720p,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£979.37,573 ratings,4.8 out of 5 stars,Apple,NaN,Apple,13.3 Inches,8 GB,8,NaN,NaN,Intel Core i5,NaN,NaN,2560 x 1600,NaN,NaN,NaN,MacOS Big Sur,Apple,MacBook Air,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£385.00,691 ratings,4.1 out of 5 stars,HP,Windows 10 Pro,Intel,14 Inches,8 GB,1,Intel,840 G1,Intel Core i5,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,189.00",664 ratings,4.7 out of 5 stars,Apple,NaN,Apple,13.3 Inches,8 GB,8,NaN,NaN,Intel Core i5,NaN,NaN,2560x1600,NaN,NaN,NaN,MacOS Big Sur,Apple,MacBook Pro,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£259.99,380 ratings,4.5 out of 5 stars,Acer,Chrome OS,Intel,14 Inches,4 GB,1,Intel,Acer Chromebook 314,Celeron,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£419.99,11 ratings,4.1 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£368.00,10 ratings,3.6 out of 5 stars,XINYANGCH,Windows 10 Home,Intel,15.6 Inches,6 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£667.69,218 ratings,4.6 out of 5 stars,HUAWEI,Windows 10 Home,Intel,13 Inches,8 GB,8,NVIDIA,Matebook 13 2020,Core i5-10210U,Grey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£318.99,5 ratings,4.3 out of 5 stars,Huashetrade,Windows 10 Pro,Intel,15.6 Inches,8 GB,4,Intel,NaN,Celeron G1610T,Silver,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£989.99,81 ratings,4.4 out of 5 stars,ASUS,Windows 10 Home,Intel,14 Inches,16 GB,4,Intel,ZenBook 14,Core i7,NaN,NaN,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
